iso3,country,year,pop_mln,TotalEmissions_MT,PCC,gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2
COK,Cook Islands,2020,0.017515,0.1,6.2,0.440937787,0.881875575,0.091872433,-0.023896951,0.016643027,0,0.057520249,1.554308999,0,0.056733662,0.375449898,4.50E-06,0.017269415,0.001707333,0.010421422,0,0
CRI,Costa Rica,2020,5.044179,17.4,3.4,54.880867,73.26168087,8.130373398,-9.479999701,9.234241565,0,12.65438956,175.6510312,0,3.529043213,31.45043718,0.000415264,2.996359352,0.090736156,0.697104128,0,0
CIV,Cote d_Ivoire,2020,26.17175,30.6,1.2,48.64383316,71.3629971,15.00875743,5.593000174,15.58964507,0,30.04454837,22.86460384,0,8.261064453,3.47569052,4.88E-05,1.350714488,0.000169327,0.001120803,0,0
HRV,Croatia,2020,4.11594675,24.5,5.9,66.82650757,78.25110816,18.42773835,-6.638476054,6.04497544,0,16.72596959,397.5129702,0,8.588399414,40.79578224,0.000682971,3.844048462,0.033574889,0.127559969,0,0
CUB,Cuba,2020,11.495492,51.9,4.5,84.44594574,168.8918915,37.1150341,11.89000003,14.74737469,0,43.97238485,395.9390997,0,8.465630859,42.44843817,0.000695602,10.01853926,0.000172452,0.000626613,0,0
CYP,Cyprus,2020,1.207343,8.5,7,26.89363861,24.23722829,7.141758204,-0.499858995,1.333102912,0,5.430937572,147.0883291,0,3.062739746,16.94610577,0.000268359,1.142413347,0.043336519,0.175088091,0,0
CZE,Czech Republic,2020,10.633424,131.5,12.4,256.8874207,322.3246866,106.5152092,-6.317645868,24.94409196,0,85.30855592,2862.066641,0,-5.776857422,193.3425394,0.004068754,10.61187934,0.35006937,1.879881209,0,0
DNK,Denmark,2020,5.903468,49.8,8.4,374.1861877,214.3020144,36.38377857,0.89859501,13.38539243,0,6.542624399,1529.951817,0,24.51333398,296.8794937,0.00381095,5.901713748,3.721796887,13.96311121,0,0
DJI,Djibouti,2020,0.999899,2,2,2.02636075,3.380863714,0.794558262,0,1.213950783,0,1.974573843,1.865054715,0,0.361554962,0.166260731,2.99E-06,0.076599623,2.13E-06,1.89E-05,0,0
DMA,Dominica,2020,0.075052,0.2,3.1,0.56187284,0.890920723,0.154494837,0.321,0.077132898,0,0.185870418,2.168283342,0,0.074696953,0.259046144,4.03E-06,0.044886034,0.000126651,0.000695253,0,0
DOM,Dominican Republic,2020,11.108358,38.4,3.5,89.85268402,145.0494889,23.73307641,-8.717000167,14.64441212,0,30.46605343,325.5556786,0,6.820114746,49.75354489,0.00069749,5.81140816,0.111163549,1.15073585,0,0
ECU,Ecuador,2020,17.335642,64.4,3.7,87.78487396,157.7097091,40.172218,33.91000175,24.22941828,0,54.2344101,658.8661212,0,8.134362793,39.74283232,0.000896366,6.438154813,0.053807377,0.862370929,0,0
EGY,Egypt,2020,102.941488,349.8,3.4,315.5671997,648.3031257,242.3225454,-0.219000004,107.4828173,0,336.3732903,810.9574019,0,-22.45144141,58.48960567,0.001184202,28.49651417,0.000106386,0.000822275,0,0
SLV,El Salvador,2020,6.479066,12.9,2,26.24521828,45.36889913,7.048057357,0.783999984,5.834667921,0,11.13155891,94.92154126,0,3.132694336,8.712541012,0.000154387,1.922101368,0.004526775,0.035815376,0,0
GNQ,Equatorial Guinea,2020,1.40628,9.2,6.5,11.9166975,17.93340656,4.023221095,5.396000187,5.152361552,0,7.512915438,114.5467685,0,1.565996704,5.814921622,0.000146585,0.89289399,0.004011368,0.043337881,0,0
ERI,Eritrea,2020,5.432216,7.6,1.4,3.32975173,4.04651855,0.765352776,0.620800013,6.791640957,0,7.556172229,0.066520315,0,1.325149902,0.001874536,7.24E-08,0.001337619,7.79E-10,1.11E-08,0,0
EST,Estonia,2020,1.300559,20.1,15.5,27.23584938,32.11155723,17.77131796,-2.343689958,2.373729924,0,14.95528989,348.6833945,0,2.300679443,19.04150456,0.000457541,1.239571548,0.052618487,0.60390958,0,0
ETH,Ethiopia,2020,112.759072,135.9,1.2,71.73990631,187.2076239,16.239995,25.50999928,119.649044,0,135.8660962,1.811548421,0,7.196060547,0.057002844,2.02E-06,0.115068605,2.14E-15,8.59E-15,0,0
FJI,Fiji,2020,0.924915,2.5,2.6,4.327474117,4.900433393,1.162313561,0.627300029,1.287799279,0,2.224747092,12.48729869,0,1.93818811,1.09394945,1.99E-05,0.185699949,0.001214477,0.011965022,0,0
FIN,Finland,2020,5.580127,57.1,10.2,274.9464722,196.4101879,45.33080387,-32.28904343,11.76812498,0,21.39202688,1550.691725,0,20.16179297,216.3686188,0.003148002,5.573945882,2.205056152,10.254982,0,0
FRA,France,2020,68.624288,469.2,6.8,3021.187988,2279.741961,343.9955317,-47.2746013,125.1678009,0,132.6769197,11627.79125,0,153.5482188,2339.333541,0.029665406,68.45173821,21.05771645,67.95179704,0,0
GAB,Gabon,2020,2.151289,9.7,4.5,21.38499451,32.90118266,5.390328368,0.427300001,4.301514387,0,6.609682388,182.317698,0,0.472129211,13.80019469,0.00027173,1.046214366,0.057774566,1.034067685,0,0
GMB,"Gambia, The",2020,2.293493,2.8,1.2,1.256706834,3.610601911,0.57772472,-0.248500014,2.261035303,0,2.81049529,2.568608276,0,0.362498627,0.036332318,2.49E-06,0.032000143,4.00E-08,8.07E-07,0,0
GEO,Georgia,2020,3.898529,18.4,4.7,18.04141998,31.41259942,9.776149432,-1.714344025,8.583824317,0,17.13185006,69.76107045,0,3.592737549,5.789194504,0.000108274,1.512893524,0.000844312,0.009924382,0,0
DEU,Germany,2020,82.540456,913.5,11.1,4084.530518,3424.757447,799.3284658,-16.80221844,114.1933556,0,364.1501991,23686.29423,0,203.759125,3346.264992,0.048433849,82.49458806,32.63735092,172.3309574,0,0
GHA,Ghana,2020,30.733756,31.6,1,61.83220673,68.85192379,14.21613471,0.963999977,17.3940196,0,31.3622887,6.884361102,0,5.793040527,1.892359274,2.19E-05,0.739172116,5.66E-05,0.000255053,0,0
GRC,Greece,2020,11.102572,96.1,8.7,265.2356567,242.9010847,74.2947801,-2.616648873,21.85202916,0,57.48161724,2259.239989,0,14.23417676,175.9289297,0.003408811,10.22206693,0.744259241,4.824903139,0,0
GRD,Grenada,2020,0.109308,0.3,3.2,1.023372173,1.287130649,0.262651724,-0.087499999,0.086039474,0,0.276039213,2.872376327,0,0.148539658,0.468692638,6.41E-06,0.064912472,0.000466877,0.002331651,0,0
GTM,Guatemala,2020,17.910812,38.1,2.1,59.177948,88.4075556,20.57681402,12.16799959,17.50771825,0,35.2204641,157.7404827,0,11.50083594,13.99855998,0.000252503,3.225340454,0.007009277,0.071400234,0,0
GIN,Guinea,2020,13.750826,25.5,1.9,11.54862595,23.81402706,3.046356042,14.15999961,22.43081172,0,25.41420171,5.340564836,0,2.335659668,0.119332865,5.55E-06,0.109221573,7.97E-09,1.10E-07,0,0
GNB,Guinea-Bissau,2020,2.000694,2.9,1.4,1.28529501,2.480712612,0.336938687,1.474000037,2.542376717,0,2.872490413,0.576774143,0,0.081083878,0.01314579,6.02E-07,0.009818186,1.53E-08,2.75E-07,0,0
GUY,Guyana,2020,0.790782,5.4,6.9,4.506083012,4.635395213,3.110394577,14.50399963,2.330512901,0,5.239732817,10.03469305,0,0.245661499,1.088430225,1.77E-05,0.188461141,0.000948613,0.016977472,0,0
HTI,Haiti,2020,11.371185,11.2,1,8.730587006,13.10195443,3.089674691,0.149500005,8.104634285,0,11.02197677,12.56395178,0,1.248307617,0.533137965,1.52E-05,0.163867359,0.000185682,0.004023145,0,0
HND,Honduras,2020,9.719265,20.9,2.2,22.61577988,39.41942903,10.9040223,28.07999945,10.02260693,0,19.60032463,83.67938194,0,0,5.41271944,0.00011693,1.29887562,0.003395248,0.058769377,0,0
HUN,Hungary,2020,9.621254,63.9,6.6,165.6524963,218.3903114,48.47033056,-4.167739709,15.41137966,0,42.34641032,1128.383953,0,26.14319141,111.0613299,0.001898601,9.451237371,0.061422682,0.210951608,0,0
ISL,Iceland,2020,0.343228,5.1,14.7,19.01909447,15.79647584,3.834594647,7.93963925,1.224041144,0,2.620196742,94.52891657,0,2.016082642,15.91976837,0.000214978,0.343179568,0.169470827,1.160626905,0,0.536833182
